userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,sentiment_score,sentiment_label,review_length
Stanley Geeko,simply wonderful and begginner friendly,5,0,6.27.4,2025-04-28 10:17:58,simply wonderful and begginner friendly,0.7845,positive,5
Matthew Hand,"It's a really fun way to learn another language, I'm learning Korean 🙂",5,0,6.26.2,2025-04-28 10:17:15,its a really fun way to learn another language im learning korean,0.5563,positive,12
Arjumand Arsh,its nice app to learn any language,5,0,6.27.4,2025-04-28 10:15:01,its nice app to learn any language,0.4215,positive,7
Joseph Djaguidi,C'est une application impressionnant,5,0,5.121.10,2025-04-28 10:14:25,cest une application impressionnant,0.0,neutral,4
Ram Loghre,This app is so awesome,5,0,6.27.4,2025-04-28 10:13:32,this app is so awesome,0.7384,positive,5
Teriyani Teriyani,"the Duolingo is that can choose another language and I choose the Chinese so, I can speak Chinese in China!",4,0,6.27.4,2025-04-28 10:12:46,the duolingo is that can choose another language and i choose the chinese so i can speak chinese in china,0.0,neutral,20
antanas jagminas,"quite great app, but temu ad design is terrible! The temu ads are the worst ones ever with terrible AI translation. Please better show normal ads like from network operators or shopping centers.",4,0,6.27.4,2025-04-28 10:10:40,quite great app but temu ad design is terrible the temu ads are the worst ones ever with terrible ai translation please better show normal ads like from network operators or shopping centers,-0.4945,negative,33
Haji The best,super,5,0,6.27.4,2025-04-28 10:10:18,super,0.5994,positive,1
Pearl Chuma,I love this app although there aren't all the languages most people would like it is very good,5,0,6.27.4,2025-04-28 10:09:47,i love this app although there arent all the languages most people would like it is very good,0.8795,positive,18
Rhurani Jennifer,duolingo is the best app to teach you how to speak other languages .,5,0,6.27.4,2025-04-28 10:09:47,duolingo is the best app to teach you how to speak other languages,0.6369,positive,13
Mhi Jakariya,this app is Very good,5,0,,2025-04-28 10:07:44,this app is very good,0.4927,positive,5
ishanka ellawala,i love it.😍😍😍it makes me happy time to practises it bye😀😀😀😉😉😉😉☺😃🙄😊😑🙄😎😂🙄😎🙄😉😍😘😎😂🤗😎😉🤗😍😏😊😎🙄😉😃😎🤗😉🤗😎🤗😋😆🤗😁😃😍😉😎🤗😉🤗😉😉😋🤗😉🤣🙄😆😋🤗😉☺🙄😉😉😎🤩😉☺😉😋🤗😉☺😆😚🤗😁😋😗😑🤔😎😉😎🤗😉☺🙄😉😎😍😉☺🙄😆🤣🤗😚☺🙄😙☺🤗😉☺🤗😁,5,0,6.27.4,2025-04-28 10:07:37,i love itit makes me happy time to practises it bye,0.836,positive,11
Erick Burkle,"Demasiados anuncios después de cada lección, deberían ser uno solo por cada bloque como era antes",1,2,6.27.4,2025-04-28 10:05:46,demasiados anuncios despus de cada leccin deberan ser uno solo por cada bloque como era antes,0.0,neutral,16
Theresa Neil,I wish it would tell you what the word ment before quizing me.,4,0,5.121.10,2025-04-28 10:05:40,i wish it would tell you what the word ment before quizing me,0.4019,positive,13
The Green Kids,"they removed Simple Gifts! ADD IT BACK! i,d add a half star if I could!!!!! and they removed Barbara Allen...AND FIGHT SONG!!!!!!!!!!!!!!!¡!",1,0,6.27.4,2025-04-28 10:05:18,they removed simple gifts add it back id add a half star if i could and they removed barbara allenand fight song,-0.3818,negative,22
Mathew Sunnyshine,The best language companion ever!,5,0,6.26.2,2025-04-28 10:05:01,the best language companion ever,0.6369,positive,5
Aman Basnet,nice app,5,0,6.27.4,2025-04-28 10:03:17,nice app,0.4215,positive,2
Priyadarshini Vignesh,very nice,5,0,6.27.4,2025-04-28 10:03:06,very nice,0.4754,positive,2
Nazim Uddin,nice,5,0,6.27.4,2025-04-28 10:02:47,nice,0.4215,positive,1
lovely Srivastava,it is the best app to learn languages,5,0,6.27.4,2025-04-28 10:02:42,it is the best app to learn languages,0.6369,positive,8
