userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,sentiment_score,sentiment_label,review_length
Peter Pröscholdt,"Given that they intend to heavily rely on AI for voicing, I would rather shove a chainsaw inbetween my legs, rather than continueing to use this app.",1,157,,2025-04-30 07:43:59,given that they intend to heavily rely on ai for voicing i would rather shove a chainsaw inbetween my legs rather than continueing to use this app,0.0,neutral,27
Zack Grenig,"I just want to learn Estonian, Serbian, and Khmer and have the block button actually mean something. I'm sorry for having standards.",1,54,6.27.4,2025-04-30 04:15:44,i just want to learn estonian serbian and khmer and have the block button actually mean something im sorry for having standards,-0.4404,negative,22
Victoria Åström (Biku),"""AI-first""... They removed some really useful features, like the sentence discussions where you could ask questions if you were unsure of why a sentence was structured in a specific way. In some case removing years of good advice to help you actually learn the language. And now they've implemented AI into the app. Language learning is way too complex for an AI to handle. Languages are constantly changing, and there's so much cultural context that a machine wont get the way native speakers will",1,180,5.80.4,2025-04-30 04:11:41,aifirst they removed some really useful features like the sentence discussions where you could ask questions if you were unsure of why a sentence was structured in a specific way in some case removing years of good advice to help you actually learn the language and now theyve implemented ai into the app language learning is way too complex for an ai to handle languages are constantly changing and theres so much cultural context that a machine wont get the way native speakers will,0.8795,positive,84
lnstaII [ CASHPIRATE ] App And Earn,"After using Duolingo for over a year to study German, the experience has been positive overall. The app is user-friendly, motivating with its streak system, and covers fundamental vocabulary and grammar well. Listening and speaking exercises help with pronunciation, and spaced repetition reinforces learning effectively. However, it lacks depth for advanced grammar and can feel repetitive over time. Speech recognition can be hit or miss.",5,1,5.65.14,2025-04-30 01:25:53,after using duolingo for over a year to study german the experience has been positive overall the app is userfriendly motivating with its streak system and covers fundamental vocabulary and grammar well listening and speaking exercises help with pronunciation and spaced repetition reinforces learning effectively however it lacks depth for advanced grammar and can feel repetitive over time speech recognition can be hit or miss,0.9169,positive,65
Walt Disney,"threw a random high level trick question that took all my hearts that I don't understand. Music lessons are reading the notes from storage every time a note is played, resulting in, on some phones, lag at the start of every note, which also desyncs the song causing it to occasionally jump forward when the next note is playing.",1,36,6.27.4,2025-04-29 20:12:26,threw a random high level trick question that took all my hearts that i dont understand music lessons are reading the notes from storage every time a note is played resulting in on some phones lag at the start of every note which also desyncs the song causing it to occasionally jump forward when the next note is playing,0.1531,positive,59
Cha Hida,"Duolingo is just gonna make us pay, day by day. 1st, they changed Lingots to Gems. Then, put 5 Hearth for mistakes. They quibbled that they just wanna make us learn better by reviewing past lessons (we got heart by reviewing lessons). Now they removed it & completely want us to pay with Gems if we want to continue to learn without waiting for hours for 1 heart-live. Which is? Gems cost money! *sure we could gain gems by watching ads. I'm tired of those cheap and low quality T*mu ads!",1,55,6.27.4,2025-04-29 18:15:52,duolingo is just gonna make us pay day by day 1st they changed lingots to gems then put 5 hearth for mistakes they quibbled that they just wanna make us learn better by reviewing past lessons we got heart by reviewing lessons now they removed it completely want us to pay with gems if we want to continue to learn without waiting for hours for 1 heartlive which is gems cost money sure we could gain gems by watching ads im tired of those cheap and low quality tmu ads,0.3582,positive,90
Daniel Kanchev,"I don't want AI in a learning app, bring back contract workers. AI-first, customer and worker - last.",1,242,,2025-04-29 15:48:08,i dont want ai in a learning app bring back contract workers aifirst customer and worker last,-0.0572,negative,17
Kendell Ragsdale,ai slop,1,270,,2025-04-29 09:18:05,ai slop,0.0,neutral,2
Menge habesha መንጌ ሐበሻ,thanks good,5,4,6.25.4,2025-04-28 15:10:56,thanks good,0.7003,positive,2
Ahmad Gamal,not good at all the ads are insane,1,81,6.27.4,2025-04-28 15:10:27,not good at all the ads are insane,-0.6256,negative,8
Ahmed Kano58,its really good for learning English,5,0,6.27.4,2025-04-28 15:09:19,its really good for learning english,0.4927,positive,6
dallas winslow,I love Duolingo so so much I know Japanese🇯🇵 now!!!,5,0,6.27.4,2025-04-28 15:05:08,i love duolingo so so much i know japanese now,0.6369,positive,10
Paniz AASG,its so good,5,0,6.27.4,2025-04-28 15:02:57,its so good,0.4927,positive,3
Rosalinda Bass,Really enjoyed learning new languages!,5,0,6.27.4,2025-04-28 15:02:29,really enjoyed learning new languages,0.5563,positive,5
Lucas Kean,love it!!,5,0,,2025-04-28 15:02:02,love it,0.6369,positive,2
Blackbeautygirl,nice and easy,5,0,6.27.4,2025-04-28 15:01:05,nice and easy,0.6908,positive,3
Pizza,"one day, I used up all of my streak freezes and broke my streak. well, that made Duolingo very mad. I tried to flee to Mexico, but on the plane, everyone started coming to me and said ""Spanish or vanish?"" they didn't let me choose spanish.. so now here i am, chained up to do 3 decades of spanish lessons, only then will I get sent back... please help... (it's a joke if you live under a rock and don't know)",1,33,6.27.4,2025-04-28 15:01:04,one day i used up all of my streak freezes and broke my streak well that made duolingo very mad i tried to flee to mexico but on the plane everyone started coming to me and said spanish or vanish they didnt let me choose spanish so now here i am chained up to do 3 decades of spanish lessons only then will i get sent back please help its a joke if you live under a rock and dont know,0.7686,positive,81
Gold Ayodele,it's a really good app for beginners,5,0,6.27.4,2025-04-28 14:57:50,its a really good app for beginners,0.4927,positive,7
亗Abd el moumene,انه افضل تطبيق من حيث تعلم اللغات و مرح في تعلم,5,0,6.27.4,2025-04-28 14:57:30,,0.0,neutral,0
dream gallery,this app work like a game that is fun and challenging ton of easy waay to learn and when somone pass you in rank a quick adrenaline hitting energy pops up i like this because this already showed good result,5,0,6.27.4,2025-04-28 14:57:18,this app work like a game that is fun and challenging ton of easy waay to learn and when somone pass you in rank a quick adrenaline hitting energy pops up i like this because this already showed good result,0.9413,positive,40
Matthew & Katherine Bryson,Very fun to learn new languages with duolingo!,4,0,6.27.4,2025-04-28 14:57:05,very fun to learn new languages with duolingo,0.5563,positive,8
m mamun,it's too cool,5,0,6.27.4,2025-04-28 14:56:15,its too cool,0.3182,positive,3
Toys and Girls,amazing 👏,5,0,6.27.4,2025-04-28 14:55:24,amazing,0.5859,positive,1
aman kebkab,It's amazing 😋😀😀😀,5,0,6.21.3,2025-04-28 14:50:32,its amazing,0.5859,positive,2
Monica Arusei,I think it is the best on learning wether for learning or pleasure,5,0,6.27.4,2025-04-28 14:49:59,i think it is the best on learning wether for learning or pleasure,0.836,positive,13
sayad 26b,একেবারে অসাধারণ একটি App ja sotti ki bolan apnara hmm kon daki,5,0,6.27.4,2025-04-28 14:48:10,app ja sotti ki bolan apnara hmm kon daki,0.0,neutral,9
Radosław Baryś,"Simply great, keep on learning peeps",5,0,6.27.4,2025-04-28 14:46:26,simply great keep on learning peeps,0.6249,positive,6
Phemelo Mantai,it is a ncaa app am learning Spanish and I am very much understanding understanding understanding understanding understanding the words or knowing some alphabets I now wanna learn sign language the prob is idh time to learn I only got around 5 min a day and that's disturbing for my liking😩😩😭😭,5,0,6.27.4,2025-04-28 14:46:02,it is a ncaa app am learning spanish and i am very much understanding understanding understanding understanding understanding the words or knowing some alphabets i now wanna learn sign language the prob is idh time to learn i only got around 5 min a day and thats disturbing for my liking,-0.1531,negative,51
Ashwin Raj,I downloaded this app to learn Hindi for only speaking & listening but they can't just do it separately. I would appreciate it if they give some options just to learn how to communicate.(and not include reading & writing),1,16,,2025-04-28 14:45:46,i downloaded this app to learn hindi for only speaking listening but they cant just do it separately i would appreciate it if they give some options just to learn how to communicateand not include reading writing,0.5499,positive,37
Mikhaella Perolina,"Excellent,for own experience! it's easy for go learn .",5,0,6.27.4,2025-04-28 14:43:28,excellentfor own experience its easy for go learn,0.4404,positive,8
Christine Cartlidge,fun and educational,5,0,6.27.4,2025-04-28 14:41:56,fun and educational,0.5106,positive,3
Ioan,if I break my streak my family will be executed by duo plz help,5,0,6.27.4,2025-04-28 14:41:28,if i break my streak my family will be executed by duo plz help,0.4588,positive,14
Dareen Almughrabi,perfect,5,0,6.27.4,2025-04-28 14:40:45,perfect,0.5719,positive,1
Hira Sarfraz,need alphabets to teach first,2,7,6.27.4,2025-04-28 14:39:49,need alphabets to teach first,0.0,neutral,5
Adriel dylan,Very good for first time learners and also for on the go learning,5,0,6.27.4,2025-04-28 14:38:38,very good for first time learners and also for on the go learning,0.4927,positive,13
Md Asaduzzaman,very good,5,0,,2025-04-28 14:37:49,very good,0.4927,positive,2
Eckszielxylo Jerriccus Gutierrez,doulingo is very interesting it's easy to understand the language and words by listening or typing. this app teach me how to speak any language.,5,0,6.27.4,2025-04-28 14:37:47,doulingo is very interesting its easy to understand the language and words by listening or typing this app teach me how to speak any language,0.7316,positive,25
Maame Esi Benyiwa Anquandah,"I love, love, love, LOVE this app. And it shows less ad's than other apps do",5,0,5.141.7,2025-04-28 14:36:30,i love love love love this app and it shows less ads than other apps do,0.9571,positive,16
Quinter,Nice reminders and learning experiences A 10/10,5,0,6.27.4,2025-04-28 14:35:34,nice reminders and learning experiences a 1010,0.4215,positive,7
صادق خزایی,its amaising,5,0,6.26.2,2025-04-28 14:33:52,its amaising,0.0,neutral,2
Raiziel Anne Corral,"i hate how the ""correct"" answer is actually incorrect it was:17+3+1 I did 21 and the ""correct"" answer was 26",4,1,6.27.4,2025-04-28 14:33:44,i hate how the correct answer is actually incorrect it was1731 i did 21 and the correct answer was 26,-0.5719,negative,20
Shivanarayan Yadav,Duolingo apps very nice,4,0,6.27.4,2025-04-28 14:32:09,duolingo apps very nice,0.4754,positive,4
Allen Fick,Helps me learn German so much,5,0,6.27.4,2025-04-28 14:26:45,helps me learn german so much,0.3818,positive,6
ANTIMA SHARMA,It's a best app to learn many languages 👍👍,5,0,6.27.4,2025-04-28 14:25:57,its a best app to learn many languages,0.6369,positive,8
Kareem Colors,very helpful,5,0,6.27.4,2025-04-28 14:25:21,very helpful,0.4754,positive,2
teferi tegegn,loved it!!!!,5,0,,2025-04-28 14:23:59,loved it,0.5994,positive,2
Elizabeth Aryee,it's very good I like it but don't love it it's teaching me though very well so 4 stars,4,0,6.27.4,2025-04-28 14:22:20,its very good i like it but dont love it its teaching me though very well so 4 stars,0.1339,positive,19
Kyla Keona margate,it's a good app but... my widget says my streak is 1 but it's actually 113 can you pls restore it again it's bothering me but like it much,4,0,6.27.4,2025-04-28 14:21:42,its a good app but my widget says my streak is 1 but its actually 113 can you pls restore it again its bothering me but like it much,0.6187,positive,29
Henry Von Drehle,it is great! I just wish you had more heart without paying,5,0,6.27.4,2025-04-28 14:21:39,it is great i just wish you had more heart without paying,0.7783,positive,12
Ebtaheem Ahmed,رائع جدا,5,0,5.141.7,2025-04-28 14:21:22,,0.0,neutral,0
Leess Leess,I can many Language speak and now I learned already Japanese🇯🇵.that soooo cool👍🥳,5,0,6.27.4,2025-04-28 14:20:50,i can many language speak and now i learned already japanesethat soooo cool,0.3182,positive,13
Babs Thorne,not sure how to repeat phrases to practice,4,0,6.27.4,2025-04-28 14:20:41,not sure how to repeat phrases to practice,-0.2411,negative,8
Riya rishi raj Riya kutty,very nice app I ever seen but my problem is when I ender my email address this would say wrong I don't know that do and only this is my problem and other things is nice ❤️❤️ I would recommend this is best learning app in the world ❤️❤️,5,0,6.24.2,2025-04-28 14:18:58,very nice app i ever seen but my problem is when i ender my email address this would say wrong i dont know that do and only this is my problem and other things is nice i would recommend this is best learning app in the world,0.6106,positive,47
astatix (thestaticemote),very good and easy to learn with duolingo,5,0,6.27.4,2025-04-28 14:18:50,very good and easy to learn with duolingo,0.7474,positive,8
Jo Hall,easy to access and navigate,5,0,6.27.4,2025-04-28 14:18:23,easy to access and navigate,0.4404,positive,5
Jamal Dawe,Easy to learn. Always improving.,5,0,6.27.4,2025-04-28 14:17:15,easy to learn always improving,0.6908,positive,5
Rajkumar Vishwas Rajkumar,das ist gut💗,4,0,6.27.4,2025-04-28 14:16:36,das ist gut,0.0,neutral,3
Bella Victoria Nepomuceno,"It's difficult sometimes, but once I was able to do it and found out my friends also learned languages on Duolingo it became more fun. It was also fun without them, but I think it became more fun with them along :)",5,0,6.27.4,2025-04-28 14:15:27,its difficult sometimes but once i was able to do it and found out my friends also learned languages on duolingo it became more fun it was also fun without them but i think it became more fun with them along,0.9641,positive,41
Autumn Williams,"Exceptional language learning, diverse and sometimes customized ads, very encouraging, although a bit in your face with excess information",4,0,6.27.4,2025-04-28 14:14:50,exceptional language learning diverse and sometimes customized ads very encouraging although a bit in your face with excess information,0.5709,positive,19
FFC Naruto,This app is very helpful to learn any language from basic to beginners.,5,0,6.27.4,2025-04-28 14:14:43,this app is very helpful to learn any language from basic to beginners,0.4754,positive,13
Isaac Evans,really good learning and the scheduling is really good,5,0,6.27.4,2025-04-28 14:14:24,really good learning and the scheduling is really good,0.7496,positive,9
Nena Jordan,"this app is incredible. It helped me learn Russian, and I love how u have to try the next day and it makes the Duolingo bird push u and tell u to do it and it does dramatic faces which that surprisingly helps. Anyways it's amazing that should be it's name and yeah try it out yourself.",5,0,6.27.4,2025-04-28 14:11:43,this app is incredible it helped me learn russian and i love how u have to try the next day and it makes the duolingo bird push u and tell u to do it and it does dramatic faces which that surprisingly helps anyways its amazing that should be its name and yeah try it out yourself,0.9325,positive,57
Mamello Moeketsi,This is the best app to teach you a different language i learnt Korean from this app it's legit and so patient I highly recommend this app I give it a five star I learnt Korean in a month,5,0,6.27.4,2025-04-28 14:10:50,this is the best app to teach you a different language i learnt korean from this app its legit and so patient i highly recommend this app i give it a five star i learnt korean in a month,0.8051,positive,39
Jossy Tedx,the best language teaching app ever,4,0,6.8.3,2025-04-28 14:10:43,the best language teaching app ever,0.6369,positive,6
Vibha Patel,I can learn english but there are ads in it,4,0,6.27.4,2025-04-28 14:09:44,i can learn english but there are ads in it,0.0,neutral,10
Ashish Debnath,great job,5,0,6.27.4,2025-04-28 14:08:47,great job,0.6249,positive,2
Amtul Moiz,i love it,5,0,5.121.10,2025-04-28 14:08:24,i love it,0.6369,positive,3
Ali Murtoza,they use network 😴🥲,3,1,6.25.4,2025-04-28 14:08:14,they use network,0.0,neutral,3
nayan miah,very good,5,0,6.26.2,2025-04-28 14:07:05,very good,0.4927,positive,2
Robert Darrow,easy to learn and the free version doesn't bombard you with adverts. it's a fair balance,5,0,6.27.4,2025-04-28 14:06:45,easy to learn and the free version doesnt bombard you with adverts its a fair balance,0.8176,positive,16
Conor Grogan,amazing for learning languages,5,0,6.27.4,2025-04-28 14:05:54,amazing for learning languages,0.5859,positive,4
ROKON KHAN,"that,s good",5,0,6.27.4,2025-04-28 14:05:26,thats good,0.4404,positive,2
Hong MeyMey,I wish they make chess a course. I would love that.,5,0,6.26.2,2025-04-28 14:04:20,i wish they make chess a course i would love that,0.7845,positive,11
Sunita Vishwakarma,good 👍👍,5,0,6.27.4,2025-04-28 14:01:20,good,0.4404,positive,1
Joyce Njagi,this app help alot,5,0,6.27.4,2025-04-28 14:00:34,this app help alot,0.4019,positive,4
Joan Mora,I love it,4,0,6.27.4,2025-04-28 14:00:20,i love it,0.6369,positive,3
Somtochukwu Ekobay,It's entertaining and fun but works better when paired with other apps.,5,0,6.26.2,2025-04-28 13:59:15,its entertaining and fun but works better when paired with other apps,0.7876,positive,12
Klara Ceka,Duolingo is super cool.But it has a problem when clicking. WHEN I WAS DOING MY 6 DAY STREAK I CLICK THE PIANO BUTTON IT DOES NOT WORK I CLICK IT HARD AGAIN IT DOES NOT WORK.IDK WHAT IS THE PROBLEM BUT...PLSSS FIX THAT,4,0,6.27.4,2025-04-28 13:57:21,duolingo is super coolbut it has a problem when clicking when i was doing my 6 day streak i click the piano button it does not work i click it hard again it does not workidk what is the problem butplsss fix that,-0.2263,negative,43
ام عبودي,perfect,5,0,6.27.4,2025-04-28 13:55:43,perfect,0.5719,positive,1
Prayme Rosario,kiitos,5,0,6.27.4,2025-04-28 13:54:36,kiitos,0.0,neutral,1
Arnab Ekka,Nice language learning app,5,0,6.27.4,2025-04-28 13:53:00,nice language learning app,0.4215,positive,4
Ylac Verdadero,helped me learn other langue that I don't know,5,0,6.27.4,2025-04-28 13:52:53,helped me learn other langue that i dont know,0.0,neutral,9
Sanj R,"Great app to learn, really well structured for people of all abilities to build confidence and keep the grey cells ticking over. Ads on display are super difficult to try and navigate away from, almost aggressive advertising.",4,0,6.27.4,2025-04-28 13:51:35,great app to learn really well structured for people of all abilities to build confidence and keep the grey cells ticking over ads on display are super difficult to try and navigate away from almost aggressive advertising,0.9199,positive,37
Shabnam Usman,I am learning english it's very useful app,5,0,6.25.4,2025-04-28 13:51:01,i am learning english its very useful app,0.4927,positive,8
Aditi Rasam,Good results 👍,5,0,6.27.4,2025-04-28 13:50:41,good results,0.4404,positive,2
Jayni shah,super app,5,0,6.27.4,2025-04-28 13:50:09,super app,0.5994,positive,2
Taruna Chouhan,very nice,5,0,6.26.2,2025-04-28 13:49:24,very nice,0.4754,positive,2
Gaynor Degabriele,I love it,5,0,6.27.4,2025-04-28 13:48:37,i love it,0.6369,positive,3
Connie Van Valkenburgh,"it's easy and fun, and is also really cute.",4,0,6.27.4,2025-04-28 13:47:08,its easy and fun and is also really cute,0.8588,positive,9
Asibuse Sikhosana,It's a good app and its even reminds you to learn. i love it ❤️,5,0,6.26.2,2025-04-28 13:46:47,its a good app and its even reminds you to learn i love it,0.7964,positive,14
A Google user,"makes learning fun. That was what I used to think, I now have uninstalled it. I will admit I wasn't paying for it, so maybe I expect to much for free. They recently changed the way you have to earn hearts to keep playing and it quickly became unbearable for me. It also doesn't actually teach you all that well after a certain point. I hard a 520 day streak so I was reluctant to remove it, but I've finally realised It wasn't teaching me in a useful way. my star rating is only for the free version.",2,9,6.27.4,2025-04-28 13:45:18,makes learning fun that was what i used to think i now have uninstalled it i will admit i wasnt paying for it so maybe i expect to much for free they recently changed the way you have to earn hearts to keep playing and it quickly became unbearable for me it also doesnt actually teach you all that well after a certain point i hard a 520 day streak so i was reluctant to remove it but ive finally realised it wasnt teaching me in a useful way my star rating is only for the free version,0.9282,positive,98
Mustafa “Helkot” Muhammed,This is a good app even my mom uses it,5,0,6.27.4,2025-04-28 13:45:14,this is a good app even my mom uses it,0.4404,positive,10
Emma Howard,"this app was really great, i cant get premium which makes the app actually work, wish they would add some premium features into the app so i could learn better",3,2,6.27.4,2025-04-28 13:44:48,this app was really great i cant get premium which makes the app actually work wish they would add some premium features into the app so i could learn better,0.8822,positive,30
Paras Tanwar,great App for learning Languages,5,0,6.27.4,2025-04-28 13:42:56,great app for learning languages,0.6249,positive,5
Ilma Islam,to well,4,0,6.27.4,2025-04-28 13:41:16,to well,0.2732,positive,2
Mukesh Mukeshwaran,good language leaning app very good app I steady Japanese language nice app,5,0,6.27.4,2025-04-28 13:40:30,good language leaning app very good app i steady japanese language nice app,0.8225,positive,13
Md. Abu Rayhan Prince,Great App for learning new languages. Super easy to use. 9 out of 10 for UI.,5,0,6.27.4,2025-04-28 13:40:09,great app for learning new languages super easy to use 9 out of 10 for ui,0.8979,positive,16
Rajuma Laskar,this app is very good. 👍 I am practicing English. i was able to learn English. thank you so much,5,0,6.27.4,2025-04-28 13:39:23,this app is very good i am practicing english i was able to learn english thank you so much,0.6901,positive,19
Oratile Khalo,It's such an amazing app to learn any language you want! it makes you learn at your own pace and time just make sure you keep track of that streak though because Duo is watching 👀,5,0,6.27.4,2025-04-28 13:39:20,its such an amazing app to learn any language you want it makes you learn at your own pace and time just make sure you keep track of that streak though because duo is watching,0.7506,positive,35
samson fregene,cool,5,0,6.27.4,2025-04-28 13:39:13,cool,0.3182,positive,1
subashdon subashpro,perfect consistent useful,5,0,6.26.2,2025-04-28 13:39:06,perfect consistent useful,0.765,positive,3
Bgg Hhgg,"I was learning very well with Duolingo and had built a strong 250-day streak. I practiced every day without missing even once. But when the chapters became more difficult, I made some mistakes and lost all my hearts (lives). After losing hearts, I was unable to complete my daily lessons. This continued for 3 days and my 250-day streak broke. I feel very disappointed because Duolingo is supposed to help people learn languages, not punish them for making mistakes. The heart system and the paid",1,8,,2025-04-28 13:34:44,i was learning very well with duolingo and had built a strong 250day streak i practiced every day without missing even once but when the chapters became more difficult i made some mistakes and lost all my hearts lives after losing hearts i was unable to complete my daily lessons this continued for 3 days and my 250day streak broke i feel very disappointed because duolingo is supposed to help people learn languages not punish them for making mistakes the heart system and the paid,-0.9363,negative,85
Aasheram Raj put,Good 😊😊😊😊😊😊😊😊👍👍👍......................,4,0,6.27.4,2025-04-28 13:34:10,good,0.4404,positive,1
Manju Bhattarai,it's quite good but when the new lesson starts it gives us plenty of new words which we don't know and if we do it wrong our heart will decrease.. that's it thanku Duolingo 🤍 for teaching me new things🤍,3,1,6.27.4,2025-04-28 13:32:19,its quite good but when the new lesson starts it gives us plenty of new words which we dont know and if we do it wrong our heart will decrease thats it thanku duolingo for teaching me new things,-0.4684,negative,39
H BC,"Los caractéres en mandarín y árabe son tan pequeños que no se distinguen, ponen más énfasis en las inútiles animaciones que en lo que deberían. La decadencia de Duolingo, no es lo que fue.",1,5,5.103.8,2025-04-28 13:31:02,los caractres en mandarn y rabe son tan pequeos que no se distinguen ponen ms nfasis en las intiles animaciones que en lo que deberan la decadencia de duolingo no es lo que fue,-0.5267,negative,34
T Jeevana Roshini,score keeps decreasing instead of increasing during xp boost.. so annoying,1,3,6.27.4,2025-04-28 13:29:44,score keeps decreasing instead of increasing during xp boost so annoying,0.3197,positive,11
Adrian Pateman,"Terrible. I've been using Duolingo for a couple of years and been progressing quite nicely. All of a sudden, they've changed the syllabus and dumped me in the middle of a course where 60 per cent of the vocabulary and grammatical concepts are unfamiliar. And they don't give you the option of going back to repeat lessons; just grope around by trial and error. Absolutely furious.",1,6,6.27.4,2025-04-28 13:29:30,terrible ive been using duolingo for a couple of years and been progressing quite nicely all of a sudden theyve changed the syllabus and dumped me in the middle of a course where 60 per cent of the vocabulary and grammatical concepts are unfamiliar and they dont give you the option of going back to repeat lessons just grope around by trial and error absolutely furious,-0.8519,negative,66
Alpa Dubey,this was intelligent app.,5,0,6.26.2,2025-04-28 13:27:33,this was intelligent app,0.4588,positive,4
Shobhit Chandra,I HONESTLY LOVE ITTTT!!!,5,0,6.27.4,2025-04-28 13:26:27,i honestly love itttt,0.802,positive,4
Krishna P,first afol I say iam very excited and now iam very happy because iam study german language and I studied german thanks very much💓✨✨✨😘😘😘😘😘😘😘😘😘😘💕💕💕💕😘😘😘😘😘😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️thanks to Duolingo thanks very much iam proudly say this app is very helpful to everyone,5,0,5.121.10,2025-04-28 13:25:54,first afol i say iam very excited and now iam very happy because iam study german language and i studied german thanks very muchthanks to duolingo thanks very much iam proudly say this app is very helpful to everyone,0.9609,positive,39
Jamal Anjum,this is a very good app I use this app everyday and my streak in this app is 183 with this app I m learning the languages like - spanish and English words- come estas means- how are you moubean - I'm fine sentence - puedas hablar mas lento por favor english - miscellaneous mischievous sentence - I have a mischievous plan i really like this app my id Muhammad khubaib khan ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️😊😊😊😊😊😊😊😊😊😊😊😊😊😊😄😄😄😄😄😄😄😄😄😄😄😄😄😄😁😁😁😁😁😁😁😁😁😁😁😁😁😀,5,0,6.18.3,2025-04-28 13:24:29,this is a very good app i use this app everyday and my streak in this app is 183 with this app i m learning the languages like spanish and english words come estas means how are you moubean im fine sentence puedas hablar mas lento por favor english miscellaneous mischievous sentence i have a mischievous plan i really like this app my id muhammad khubaib khan,0.9061,positive,67
Kristen Applegate,amazing work this is really helping me I'm la niná,5,0,6.27.4,2025-04-28 13:23:34,amazing work this is really helping me im la nin,0.7425,positive,10
parth kulkarni,nice,4,0,5.65.14,2025-04-28 13:23:11,nice,0.4215,positive,1
Shubhashree.V. Gujjar,please add Thai language also please,4,0,,2025-04-28 13:22:18,please add thai language also please,0.5574,positive,6
Barbara Obeng,love this app you can learn any language you want so I recommend it to anyone who wants to learn other languages.,5,0,6.25.4,2025-04-28 13:21:24,love this app you can learn any language you want so i recommend it to anyone who wants to learn other languages,0.829,positive,22
dee,best to learn for the entire family. enjoing it,5,0,6.27.4,2025-04-28 13:18:11,best to learn for the entire family enjoing it,0.6369,positive,9
khader basha,it's really useful to everyone even a kid will learn any language they want it's the best and fastest way to be learned,5,0,6.27.4,2025-04-28 13:18:01,its really useful to everyone even a kid will learn any language they want its the best and fastest way to be learned,0.8268,positive,23
A Google user,"If you do well with positive and negative reinforcement but no explanation as to why or what you did wrong, or right, great, this app is for you. Also, I'll get a stray lesson that is more advanced than I am currently. Again, no explanation. If I didn't already pay for a year in advance, I would have deleted the app already. My bad for not researching it more ahead of time.",1,7,6.27.4,2025-04-28 13:16:42,if you do well with positive and negative reinforcement but no explanation as to why or what you did wrong or right great this app is for you also ill get a stray lesson that is more advanced than i am currently again no explanation if i didnt already pay for a year in advance i would have deleted the app already my bad for not researching it more ahead of time,-0.8256,negative,72
Sayantika Das,This is a really very good app for Japanese...,5,0,,2025-04-28 13:16:38,this is a really very good app for japanese,0.5379,positive,9
Majid Sadaqat,This app is amazing for learning any language. One annoying thing is that there are too much ads and sometimes you have to watch two ads in a row. Besides that every lesson is amazing. Love you Duolingo.,5,0,6.27.4,2025-04-28 13:16:12,this app is amazing for learning any language one annoying thing is that there are too much ads and sometimes you have to watch two ads in a row besides that every lesson is amazing love you duolingo,0.8779,positive,38
Ervin Totoro,it helps a lot with my dutch thank you duolingo,4,0,6.27.4,2025-04-28 13:15:59,it helps a lot with my dutch thank you duolingo,0.6249,positive,10
Cameron Marshal,I deleted it and duo didn't kill me 🔥🔥🔥🔥,5,0,5.139.5,2025-04-28 13:15:58,i deleted it and duo didnt kill me,0.5773,positive,8
Heather Watters,meh 283,3,1,6.27.4,2025-04-28 13:15:32,meh 283,-0.0772,negative,2
Zahraa Hajhassan,super good,5,0,6.27.4,2025-04-28 13:14:33,super good,0.7783,positive,2
Anamika SEn,nice,3,0,6.27.4,2025-04-28 13:13:40,nice,0.4215,positive,1
Umesh Srivastava,perfect for me,5,0,6.27.4,2025-04-28 13:11:12,perfect for me,0.5719,positive,3
Malarselvi Aravind,"In daily streak challenges, the Hindi lesson tests are having repetitive questions and it's so boring.",3,1,6.27.4,2025-04-28 13:08:33,in daily streak challenges the hindi lesson tests are having repetitive questions and its so boring,-0.5706,negative,16
iman fatima,its making me smarter,5,0,6.27.4,2025-04-28 13:08:00,its making me smarter,0.4588,positive,4
Belum Hemalatha,this app is very useful to us who will learn a new lanuage..tq,4,0,6.27.4,2025-04-28 13:07:04,this app is very useful to us who will learn a new lanuagetq,0.4927,positive,13
JK JubaiR MiR (Evna Amin),ভালো App✨ Learning App,5,0,6.22.3,2025-04-28 13:06:43,app learning app,0.0,neutral,3
Vaishnav Chougale,very cute 🥺,5,0,6.27.4,2025-04-28 13:06:43,very cute,0.5095,positive,2
Fardin Ahmmed,it is the best learning app in the world,5,0,6.27.4,2025-04-28 13:05:50,it is the best learning app in the world,0.6369,positive,9
Parvin Khatun,Best One👍👍,5,0,6.27.4,2025-04-28 13:05:03,best one,0.6369,positive,2
FLASHFORM CHOAS,this app is lovely,5,0,,2025-04-28 13:03:47,this app is lovely,0.5859,positive,4
saroj kumari,best game for learning language,5,0,6.27.4,2025-04-28 13:03:41,best game for learning language,0.6369,positive,5
Diya Mazumder,Great app,5,0,6.27.4,2025-04-28 13:03:05,great app,0.6249,positive,2
Murshid Rahmani,One of the best,5,0,6.27.4,2025-04-28 13:01:24,one of the best,0.6369,positive,4
Landolsi Ahlem,"started off as great, but then it became more about winning awards and getting the free version, more than educational.",2,1,6.26.2,2025-04-28 13:01:11,started off as great but then it became more about winning awards and getting the free version more than educational,0.9546,positive,20
Tihomir Kolaric,Great and user friendly!,5,0,6.27.4,2025-04-28 13:00:56,great and user friendly,0.8074,positive,4
Kalifa Sidibe,great apps,4,0,6.26.2,2025-04-28 13:00:35,great apps,0.6249,positive,2
usha rani,good for kids,5,0,6.27.4,2025-04-28 13:00:22,good for kids,0.4404,positive,3
